Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava*;Provajder
O_1030_STOPHOT_1030HOT                  ;2024-09;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1030_STOPLET_1030LET                  ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1123_STOPMV_1123MV                    ;2024-09;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1123_STOPMX_1123MX                    ;2024-09;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPGAMERS_1553GAMERS            ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPGAMMA_1553GAMMA              ;2024-09;5;4;20;20;0;20;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPGET_1553GET                  ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPGOO_1553GOO                  ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPHD_1553Hd                    ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPOCISTI_1553OCISTI            ;2024-09;5;4;20;20;0;20;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPXONE_1553XONE                ;2024-09;5;197;985;985;10;955;30;30;0;0;0;12;NTHMedia_S
O_1554_STOPAPC_1554APC                  ;2024-09;5;1344;6720;6720;125;6595;125;125;0;0;0;150;NTHMedia_S
O_1554_STOPJPLAY_1554JPLAY              ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPMOV_1554MOV                  ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPRRR_1554RRR                  ;2024-09;5;6;30;30;0;30;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPTUBE_1554TUBE                ;2024-09;5;170;850;850;30;830;20;20;0;0;0;36;NTHMedia_S
O_1556_STOPAE_1556AE                    ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1556_STOPFUN_1556FUN                  ;2024-09;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1556_STOPPLAY_1556PLAY                ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1556_STOPRAPID_1556RAPID              ;2024-09;5;241;1205;1205;25;1190;15;15;0;0;0;30;NTHMedia_S
O_1556_STOPTOP_1556TOP                  ;2024-09;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
