provider_name,agreement_name,service_name,step_name,sender_name,requests,message_parts
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKKOMBANKNoDL","1NonSmsCRDrB","NLBKB","3856204","4159794"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK_OTPBankaSpecCh","Pure_MT","OTP_Info","3685514","3896774"
"ComTradeITSS","ComTradeITSSBulkOnDemand","EuronetAIK","1NonSmsCRDrB","AikBanka","1665123","1716941"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKPOSTEDNoDL","Isporuka","posted","1313733","1534313"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","EuroDirekt","1481658","1504759"
"NTHMedia","NthBulkOnDemand","N_1599UniCredit","PureMT","Unicredit","1445852","1445854"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKBancaIntesaNoDL","1NonSmsCRDrB","BancaIntesa","1103183","1401688"
"NTHMedia","NthBulkOnDemand","N_1599POSTED","PureMT","POSTED","1365977","1365977"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKRaiffeisen","1NonSmsCRDrB","Raiffeisen","1129245","1277679"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","ErsteBank","532805","589990"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","ADDIKO","531958","539139"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","Unicredit","395902","413032"
"mtsBanka","mtsBankaPureMT","mtsBankaPureMT","PureMT","posted","241175","383501"
"Akton_Bulk","BulkSubscriptionStarion","SrnPlaneta1","Delivery","Planeta","380676","381762"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKMobiBankaNoDL","Isporuka","Yettel.Bank","331596","354559"
"NTHMedia","NTHBulkFull","S1599DrMax_NTHSpecChar","PureMT","Dr.Max","256817","256817"
"CePP","CeppBulkOnDemand","CeppBulkBanke","BulkBanke","POSTA","230065","255504"
"NTHMedia","NTHBulkFull","S1599NIS_SNNPNTHSp","PureMT","NIS.SNNP","84016","240837"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","Alta_Banka","156430","162153"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","HALKBANK","136832","136852"
"NTHMedia","NthBulkOnDemand","N1599_OTP_info","Isporuka","OTP_info","133740","133740"
"Akton_Bulk","BulkOnDemand","SrnAlgBO","PureMT","SBB","72945","130189"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKProCreditNoDL","1NonSmsCRDrB","ProCredit","111358","127030"
"Infobip","InfobipBulkSubscription","BANCAINTESA","MtSms","BANCAINTESA","52096","120270"
"NTHMedia","NTHBulkFull","S1599Dormeohome_Ch","PureMT","Dormeo_home","102769","111549"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKHALKBANKNoDL","Isporuka","HALKBANK","110464","110464"
"NTHMedia","NTHBulkFull","S1599Prime360","PureMT","Prime360","100768","101179"
"Halcom","HalcomBulkOnDemand","ALMSGGWNoDL","PureMT","ErsteBanka","96627","96627"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","Yettel.Bank","47519","93873"
"NTHMedia","NTHBulkFull","S1599IQOSSrb","PureMT","IQOSSrbija","54377","91344"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","UniCreditRS","54618","84500"
"TelekomSrbija","TelekomSrbijaBulkOnDemand","TarifniDodaciMT","1NonSms","mts","76641","79177"
"Akton_Bulk","BulkSubscriptionStarion","MERIDIAN","Delivery","MERIDIAN","79164","79164"
"Akton_Bulk","BulkSubscriptionStarion","SrnMozzart","Delivery","Mozzart","72842","72842"
"ComTradeITSS","ComTradeITSSBulkOnDemand","MT_SpecialCharSender","Pure_MT","OTP_Promo","29736","69223"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","LCWAIKIKI","27236","68200"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR","Delivery","GENERALI","59409","65570"
"Akton_Bulk","BulkSubsciption","SrnFormaIdeale_notif","Delivery","FormaIdeale","18982","56946"
"Akton_Bulk","BulkSubscriptionStarion","SrnLilly","Delivery","Lilly","37340","56216"
"Halcom","HalcomBulkOnDemand","ALMSGGWNoDL","PureMT","NLB_BizKlik","56171","56173"
"NTHMedia","NthBulkOnDemand","N1599sportbonus","MT","sportbonus","55982","56008"
"Halcom","HalcomBulkOnDemand","ALMSGGWNoDL","PureMT","1335","50000","50000"
"CePP","CePPBulkSubsciption","CePPSmsBulkDr","Delivery","SANIOPTIK","47755","47755"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","SportBonus","47363","47369"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","TehPregled","30482","42793"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","ORION","41911","41911"
"TelekomSrbija","TelekomSrbijaBulkOnDemand","OLMsendSms","1NonSmsFoC","2020","39268","39268"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Cityexpress","38272","38577"
"Infobip","InfobipBulkSubscription","BenuPlus","MtSms","BenuPlus","38576","38576"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","BEXEXPRESS","31828","37310"
"Infobip","InfobipBulkSubscription","KING","MtSms","KING","34325","37051"
"Infobip","Infobip_OTT_SocNet","OTT_SocNet_Infobip","Isporuka","CCC Klub","37034","37034"
"NTHMedia","NTHBulkFull","S1599Promo_info","PureMT","Promo_info","32203","36038"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Dexpress","35527","35531"
"Infobip","InfobipBulkSubscription","MaxBet","MtSms","MaxBet","28778","33796"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","Euro-Direkt","32885","32885"
"Akton_Bulk","BulkSubscriptionStarion","Madamecoco1","Delivery","Madamecoco1","21855","32651"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","ERSTEBANK","27400","32263"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","PanAgent","30624","30865"
"Halcom","HalcomBulkOnDemand","ALMSGGWNoDL","PureMT","OTP_banka","28244","28244"
"Akton_Bulk","BulkSubscriptionStarion","SrnTomTailor","Delivery","Tom_Tailor","27492","27492"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","ArenaCloud","26004","26004"
"Akton_Bulk","BulkSubscriptionStarion","SrnKlett","Delivery","Klett","13800","25493"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","AdriaticbnS","24609","24610"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","CSINERGIJA","24018","24118"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","OBUCA_MANIA","23735","23735"
"NTHMedia","NTHBulkFull","S1599budihuman","PureMT","budihuman","11332","23404"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","UniCredit","23020","23388"
"InstitutMihajloPupin","IMPOnDemand","IMPProjectE","MT","SZEN","23063","23093"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","Dajte_krv","22888","22984"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","Gls","22668","22668"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK_OBSbankaSpecCh","MT_Spec","3Banka","12946","22449"
"Akton_Bulk","BulkSubsciption","SrnNSport","Delivery","NSport","20562","21735"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","PerSu","21368","21368"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","mBanking","10635","21088"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","AKS","20577","20577"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKPORESKANoDL","Isporuka","ePorezi","19414","19490"
"NTHMedia","NthBulkOnDemand","N_1599NTH_Verify","MT","NIS_Verify","18113","18980"
